species	tot_occ	uni_occ	mean_lat	mean_lon	lat_range	lon_range	lat_hemisphere	eoo	aoo	1	2	7	10	13	3	4	5	6	11	98	8	12	9	14	99	bio1	bio4	bio11	bio12	bio15	bio17	range_bio1	range_bio4	range_bio11	range_bio12	range_bio15	range_bio17	humanfootprint_1993_1	humanfootprint_1993_2	humanfootprint_1993_3	humanfootprint_1993_4	humanfootprint_2009_1	humanfootprint_2009_2	humanfootprint_2009_3	humanfootprint_2009_4
Aeranthes leandriana	0.4771213	0.4771213	0.2002888889	 0.262166667	4.372764e-02	0.0077477780	0	0.95424251	0.9542425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.33000000	3.314289	 11.23333333	3.174641	2.0354297	1.1903317	 1.6200000	2.0228406	 1.74000000	2.0077478	0.2787536	0.2787536	0.00	0.00	0.50	0.50	0.00	0.00	0.50	0.50
Aeranthes multinodis	0.3010300	0.3010300	0.2144444444	 0.266205556	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.12000000	3.421604	  8.73333333	3.169674	1.9294189	1.9912261	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
Aeranthes polyanthemus	1.2552725	1.2552725	0.1986222222	 0.269150000	8.252755e-01	0.4332192187	0	4.56135932	1.6901961	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.28666667	3.411788	 10.53333333	3.220108	1.9030900	2.1238516	 4.0400000	3.0707765	 5.01333333	2.5521813	1.3463530	1.9609462	0.00	0.65	0.12	0.24	0.00	0.65	0.18	0.18
Aeranthes schlechteri	1.3010300	1.3010300	0.1943333333	 0.265272222	8.940346e-01	0.7419461586	0	5.38364803	1.8633229	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.41333333	3.387923	 11.86666667	3.220370	1.9030900	2.1238516	 4.1266667	3.1447921	 4.96000000	3.1253186	1.6989700	2.4377506	0.05	0.47	0.32	0.16	0.00	0.42	0.47	0.11
Aeranthes setipes	0.6989700	0.6989700	0.1566666667	 0.272327778	2.054290e-01	0.3939654542	0	2.99469848	1.2304489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.38333333	3.274850	 12.03333333	3.220892	1.9518230	1.9614211	 2.9200000	2.8928734	 3.52666667	2.5470359	1.5477747	2.1325798	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
Aeranthes strangulata	1.5051500	1.5051500	0.2200111111	 0.280666667	5.983527e-01	0.9902433706	0	5.37044108	2.0211893	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.28000000	3.374748	 10.46666667	3.190332	1.8864907	2.1461280	 2.6000000	2.7185017	 3.06666667	2.5165354	1.7520484	2.2329961	0.00	0.29	0.32	0.39	0.00	0.23	0.26	0.52
Aeranthes tropophila	0.4771213	0.4771213	0.1725000000	 0.261433333	8.250975e-01	0.7096913275	0	0.95424251	0.9542425	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.72000000	3.191311	 15.60000000	3.092370	2.0334238	1.5622929	 0.4800000	2.7803893	 1.20000000	1.6954817	0.8061800	1.6364879	0.50	0.00	0.50	0.00	0.00	0.50	0.50	0.00
Agrostophyllum cyathiforme	1.3424227	1.3424227	0.0019555556	 0.614044444	1.137927e+00	1.1779201256	0	6.12400016	1.9294189	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.48000000	2.463893	 14.66666667	3.483302	1.3802112	2.6875290	 4.9333333	2.3873898	 4.80000000	3.2129862	1.6232493	2.6159501	0.14	0.05	0.38	0.43	0.19	0.14	0.24	0.43
Agrostophyllum laterale	1.0000000	1.0000000	0.0366222222	 0.637816667	5.444798e-01	0.6025656499	1	4.51083931	1.5682017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.63333333	2.352183	 16.13333333	3.512551	1.2041200	2.8573325	 3.5466667	2.0374265	 3.50666667	3.1256114	0.9030900	2.4709982	0.29	0.14	0.57	0.00	0.29	0.00	0.57	0.14
Altensteinia longispicata	0.6989700	0.6989700	0.1018888889	-0.429616667	7.508519e-01	0.4923482422	0	4.39156196	1.2304489	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	 0.36666667	2.963079	  2.76666667	2.927370	1.8325089	1.5118834	 4.3133333	2.6253125	 4.62666667	2.6127309	1.4927604	1.8893017	0.00	0.25	0.50	0.25	0.00	0.25	0.50	0.25
Amitostigma capitatum	0.3010300	0.3010300	0.3501111111	 0.617166667	0.000000e+00	0.0000000000	1	0.69897000	0.6989700	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	 0.81333333	3.901404	  1.06666667	3.029384	1.7853298	1.8512583	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
Amitostigma hemipilioides	0.3010300	0.3010300	0.2822222222	 0.570555556	0.000000e+00	0.0000000000	1	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 0.94666667	3.641672	  5.33333333	2.990339	1.9590414	1.5563025	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
Amitostigma simplex	0.3010300	0.3010300	0.3374222222	 0.571194444	0.000000e+00	0.0000000000	1	0.69897000	0.6989700	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	 0.78666667	3.794139	  2.13333333	3.006038	1.9138139	1.4771213	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
Amitostigma tetralobum	0.8450980	0.8450980	0.2860888889	 0.558116667	5.990202e-01	0.3508679963	1	4.42548187	1.3979400	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	 0.94333333	3.628338	  5.50000000	3.019324	1.9319661	1.6766936	 4.6000000	2.8426092	 5.01666667	2.0253059	1.2367891	1.5409548	0.00	0.00	0.50	0.50	0.00	0.00	0.33	0.67
