species	tot_occ	uni_occ	mean_lat	mean_lon	lat_range	lon_range	lat_hemisphere	eoo	aoo	1	2	7	10	13	3	4	5	6	11	98	8	12	9	14	99	bio1	bio4	bio11	bio12	bio15	bio17	range_bio1	range_bio4	range_bio11	range_bio12	range_bio15	range_bio17	humanfootprint_1993_1	humanfootprint_1993_2	humanfootprint_1993_3	humanfootprint_1993_4	humanfootprint_2009_1	humanfootprint_2009_2	humanfootprint_2009_3	humanfootprint_2009_4
Bulbophyllum multiflorum	2.1238516	2.1238516	0.2075555556	 0.268700000	9.118140e-02	0.0999205070	0	4.81539743	2.2174839	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.28666667	3.411788	 10.53333333	3.220370	1.8864907	2.1461280	 0.4900000	2.4486290	 0.47666667	2.2253093	1.0791812	1.6901961	0.00	0.83	0.05	0.12	0.00	0.64	0.25	0.11
Bulbophyllum myon	0.6989700	0.6989700	0.0669444444	 0.804655556	2.695106e-01	0.4940306911	0	3.79050957	1.2304489	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.16666667	2.752433	 11.06666667	3.329601	1.5622929	2.4191293	 4.3500000	1.9878896	 4.40666667	3.0877637	1.3873898	2.6097544	0.00	0.75	0.25	0.00	0.00	0.00	0.75	0.25
Bulbophyllum nigericum	0.8450980	0.8450980	0.0815777778	 0.057833333	7.683310e-01	0.7334941857	1	5.16224317	1.3979400	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.50666667	2.956649	 14.10000000	3.214711	1.9030900	1.2430380	 2.1000000	2.7833675	 1.88333333	3.1629376	1.5314789	2.0653930	0.00	0.00	0.17	0.83	0.00	0.00	0.17	0.83
Bulbophyllum octarrhenipetalum	0.3010300	0.3010300	0.0105888889	 0.743522222	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.72666667	2.426511	 17.00000000	3.398114	1.4623980	2.6106602	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00
Bulbophyllum oliganthum	0.8450980	0.8450980	0.0760777778	 0.812483333	5.333017e-01	0.6789733759	0	4.74600881	1.3979400	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.27666667	2.787106	 12.13333333	3.411283	1.4771213	2.5526682	 7.6166667	2.3654880	 7.68333333	3.1120182	1.4313638	2.5826314	0.17	0.67	0.17	0.00	0.00	0.17	0.33	0.50
Bulbophyllum olivinum	1.1760913	1.1760913	0.0546777778	 0.783611111	8.128068e-01	1.1506982743	0	5.53582470	1.7242759	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.13666667	2.755112	 10.80000000	3.485224	1.2430380	2.7913397	 9.1700000	2.5937843	 8.90666667	3.6213529	1.4265113	3.0677216	0.25	0.42	0.08	0.25	0.15	0.31	0.15	0.38
Bulbophyllum oreodoxa	0.6020600	0.6020600	0.0969777778	 0.821944444	1.702529e-01	0.4563705886	0	2.03758584	1.1139434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	 1.11333333	2.946452	 10.26666667	3.424228	1.6532125	2.4265113	 5.2800000	2.1667261	 5.40000000	2.5190400	0.6627578	1.8790959	0.33	0.33	0.00	0.33	0.33	0.33	0.00	0.33
Bulbophyllum ortalis	0.3010300	0.3010300	0.1103555556	 0.829911111	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.32000000	3.018284	 12.26666667	3.473633	1.5910646	2.6211763	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Bulbophyllum pachytelos	1.2304489	1.2304489	0.0737111111	 0.805255556	7.526860e-01	0.8497264442	0	5.24025236	1.8129134	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.21333333	2.739572	 11.56666667	3.449015	1.5051500	2.6159501	 6.4666667	2.7257075	 6.45000000	3.2748503	1.5051500	2.7425288	0.06	0.50	0.19	0.25	0.06	0.12	0.44	0.38
Bulbophyllum paleiferum	0.6989700	0.6989700	0.2050333333	 0.269788889	2.910223e-01	0.1154823676	0	2.60579295	1.2304489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.28000000	3.404492	 10.46666667	3.220370	1.8692317	2.1775365	 0.4166667	2.0203613	 0.36000000	2.6592029	1.1832698	1.9022749	0.00	0.25	0.25	0.50	0.00	0.25	0.25	0.50
Bulbophyllum pandanetorum	0.3010300	0.3010300	0.0207444444	 0.065277778	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.55333333	3.085291	 14.20000000	3.294025	1.8450980	1.3010300	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
Bulbophyllum patella	0.3010300	0.3010300	0.0611111111	 0.795094444	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 0.74000000	2.793092	  6.80000000	3.527243	1.2304489	2.8293038	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
Bulbophyllum peltopus	0.4771213	0.4771213	0.0600000000	 0.799027778	7.188201e-02	0.3569699469	0	0.95424251	0.9542425	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 0.96666667	2.701568	  9.16666667	3.484656	1.4232459	2.7168377	 4.0800000	2.3291944	 4.26000000	2.7536596	1.2576786	2.4443571	0.00	1.00	0.00	0.00	0.00	0.00	0.50	0.50
Bulbophyllum peyrotii	2.1522883	2.1522883	0.2094000000	 0.268294444	3.039730e-02	0.0576280730	0	4.06917470	2.0374265	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.29333333	3.418964	 10.53333333	3.220370	1.8864907	2.1461280	 0.4000000	1.9542425	 0.26666667	2.2900346	0.9030900	1.6720979	0.00	0.94	0.01	0.04	0.00	0.74	0.22	0.04
Bulbophyllum phormion	0.9030900	0.9030900	0.0646222222	 0.798711111	4.422367e-01	0.8133614509	0	4.52652809	1.4623980	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.04000000	2.755875	  9.80000000	3.412964	1.4771213	2.5976952	 3.4466667	2.0629578	 3.44666667	3.0584640	1.4756712	2.6403820	0.00	0.29	0.43	0.29	0.00	0.14	0.29	0.57
Bulbophyllum pidacanthum	0.4771213	0.4771213	0.0930555556	 0.819122222	3.143270e-02	0.0191162904	0	0.95424251	0.9542425	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.03666667	2.941511	  9.50000000	3.473049	1.5622929	2.5769170	 3.7800000	2.2988531	 3.90000000	1.5682017	0.7403627	1.4031205	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
Bulbophyllum porphyrostachys	1.1139434	1.1139434	0.0633888889	 0.038188889	6.250422e-01	0.7533302213	1	4.68268197	1.6901961	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.73000000	3.008174	 16.40000000	3.344097	1.8162413	1.9395193	 4.6300000	2.7149162	 4.40000000	3.2212055	1.2227165	2.1968667	0.00	0.17	0.42	0.42	0.00	0.17	0.50	0.33
Bulbophyllum posticum	1.0000000	1.0000000	0.0588111111	 0.789716667	8.414508e-01	1.1186918644	0	5.53248742	1.5682017	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.23333333	2.793092	 11.66666667	3.436799	1.4149733	2.6106602	 8.1333333	2.7801732	 8.57333333	3.2090859	1.4014005	2.7102866	0.22	0.67	0.00	0.11	0.11	0.22	0.22	0.44
Bulbophyllum quasimodo	0.3010300	0.3010300	0.0651888889	 0.786111111	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.77333333	2.729974	 17.20000000	3.687618	1.2041200	3.0098756	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
Bulbophyllum radicans	1.3802112	1.3802112	0.2043000000	 0.813572222	7.693773e-01	0.6324572922	0	4.86482273	1.9684829	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.44000000	3.431685	 11.60000000	3.316599	1.8750613	2.1583625	 2.8133333	3.1392492	 4.12000000	3.4136182	1.3364597	2.2935835	0.10	0.57	0.24	0.10	0.10	0.57	0.24	0.10
Bulbophyllum reevei	0.6989700	0.6989700	0.0742555556	 0.806688889	6.161198e-01	0.6829735984	0	4.24073576	1.2304489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.05000000	2.752048	  9.96666667	3.429914	1.5051500	2.6258267	 5.5500000	2.3836359	 5.36000000	3.0097695	0.9370161	2.2087100	0.00	0.25	0.50	0.25	0.00	0.25	0.50	0.25
Bulbophyllum regnellii	1.3979400	1.3979400	0.2950000000	-0.278000000	9.311101e-01	1.0080872312	0	5.68388683	1.9684829	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.13333333	3.473487	  8.73333333	3.240549	1.2552725	2.5751878	 2.6566667	3.0368683	 2.71333333	2.7754648	1.7902852	2.5981336	0.00	0.29	0.25	0.46	0.00	0.25	0.25	0.50
Bulbophyllum renkinianum	0.9030900	0.9030900	0.0175000000	 0.070288889	9.013112e-01	1.0075331374	1	5.54752384	1.4623980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.58666667	2.944483	 14.53333333	3.310906	1.8195439	2.1205739	 1.8533333	2.8379670	 2.22666667	3.0416690	1.6599162	2.4923413	0.00	0.50	0.33	0.17	0.14	0.43	0.14	0.29
Bulbophyllum restrepia	0.6020600	0.6020600	0.0219000000	 0.626988889	6.834973e-01	0.7885240075	0	3.57441177	1.1139434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.78666667	2.609594	 17.53333333	3.390051	1.6334685	2.5010593	 0.1800000	2.0784568	 0.24000000	2.6085260	1.1613680	2.3085644	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
Bulbophyllum rhodoleucum	0.8450980	0.8450980	0.0660555556	 0.803861111	4.859626e-01	0.7534106856	0	4.60424250	1.3979400	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.24000000	2.713070	 11.86666667	3.397592	1.5440680	2.5496162	 3.1166667	2.2781818	 3.06666667	3.5069445	1.4842998	2.9715078	0.17	0.50	0.17	0.17	0.17	0.33	0.00	0.50
Bulbophyllum rubrolabellum	0.3010300	0.3010300	0.2732333333	 0.672200000	0.000000e+00	0.0000000000	1	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.38666667	3.652826	  9.93333333	3.322839	1.7781513	2.1105897	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
Bulbophyllum rubrum	0.7781513	0.7781513	0.1592555556	 0.266616667	7.228938e-01	0.6807143358	0	3.97630783	1.3222193	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.68666667	3.134814	 15.46666667	3.248709	2.0334238	1.6901961	 1.8533333	2.6462076	 2.06666667	2.6524397	1.1139434	1.6414741	0.00	0.40	0.40	0.20	0.00	0.40	0.40	0.20
Bulbophyllum sandrangatense	1.7993405	1.7993405	0.2097333333	 0.268605556	1.203584e-01	0.0956069137	0	4.00960555	2.0827854	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.29333333	3.418964	 10.46666667	3.242790	1.8633229	2.2095150	 0.9066667	2.2977605	 1.09000000	2.6346284	1.1986571	1.9201233	0.00	0.77	0.10	0.13	0.00	0.66	0.24	0.10
Bulbophyllum sceliphron	0.3010300	0.3010300	0.0681444444	 0.805833333	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.12666667	2.723456	 10.73333333	3.349083	1.5314789	2.4727564	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00
Bulbophyllum scopa	0.6989700	0.6989700	0.0832888889	 0.808077778	6.558580e-01	0.7392395743	0	4.19313910	1.2304489	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.29333333	2.868350	 12.26666667	3.468495	1.4393327	2.6589648	 5.9300000	2.5156089	 5.64333333	2.5748990	1.3424227	2.5011962	0.00	1.00	0.00	0.00	0.00	0.00	0.50	0.50
Bulbophyllum scutiferum	0.3010300	0.3010300	0.0459000000	 0.770411111	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 0.90666667	2.799341	  8.46666667	3.483730	1.0000000	2.8457180	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
Bulbophyllum simile	0.6020600	0.6020600	0.0731333333	 0.802944444	7.369738e-01	0.9573026474	0	5.10970377	1.1139434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.40000000	2.799341	 13.13333333	3.466868	1.0791812	2.7566361	 4.6800000	2.3889888	 4.68000000	2.5987905	1.4183013	2.5094714	0.00	0.67	0.00	0.33	0.00	0.33	0.00	0.67
Bulbophyllum stipulaceum	0.9030900	0.9030900	0.0660666667	 0.800550000	7.766685e-01	0.9096260883	0	5.00819903	1.4623980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.26000000	2.711807	 12.06666667	3.453930	1.4913617	2.6053050	 2.2800000	2.6447339	 2.24666667	3.0645329	1.4487063	2.6435514	0.14	0.43	0.29	0.14	0.14	0.00	0.14	0.71
Bulbophyllum subligaculiferum	0.3010300	0.3010300	0.0068555556	 0.057500000	0.000000e+00	0.0000000000	1	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.51333333	2.943495	 14.26666667	3.373647	1.8129134	1.8061800	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
Bulbophyllum subpatulum	0.3010300	0.3010300	0.0659222222	 0.803705556	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.24000000	2.652246	 11.93333333	3.401056	1.3979400	2.6117233	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
Bulbophyllum sulfureum	1.4471580	1.4471580	0.2079000000	 0.268250000	3.148969e-01	0.2806648565	0	4.54967215	1.8633229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.29333333	3.411788	 10.40000000	3.220370	1.8976271	2.1238516	 1.7066667	2.4405943	 1.54666667	2.6393869	1.3926970	2.0496056	0.00	0.67	0.00	0.33	0.00	0.59	0.07	0.33
Bulbophyllum tampoketsense	0.3010300	0.3010300	0.1990777778	 0.261666667	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.35333333	3.296007	 11.53333333	3.197832	2.0334238	1.1760913	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
Bulbophyllum tarantula	0.4771213	0.4771213	0.0705555556	 0.807405556	4.424704e-01	0.5428291601	0	0.95424251	0.9542425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.23666667	2.692847	 11.86666667	3.385070	1.4698220	2.5611014	 1.5000000	2.2533380	 1.32000000	2.6695028	0.8633229	1.6085260	0.00	0.50	0.00	0.50	0.00	0.50	0.00	0.50
Bulbophyllum thelantyx	0.4771213	0.4771213	0.0594444444	 0.796572222	4.924129e-02	0.2278944139	0	0.95424251	0.9542425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.16333333	2.589391	 11.23333333	3.476832	1.3617278	2.7226339	 2.3400000	2.0115704	 2.46000000	2.6161603	1.1875207	2.3541084	0.00	1.00	0.00	0.00	0.00	0.50	0.00	0.50
Bulbophyllum tinekeae	0.4771213	0.4771213	0.0673111111	 0.808055556	4.337407e-02	0.0374264979	0	0.95424251	0.9542425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.18333333	2.732394	 11.26666667	3.286120	1.6580114	2.2844307	 1.0200000	1.6627578	 1.08000000	1.4608978	0.5682017	1.2988531	0.00	0.50	0.50	0.00	0.00	0.00	1.00	0.00
Bulbophyllum tokioi	0.4771213	0.4771213	0.2738333333	 0.673922222	3.006368e-01	0.1756074752	1	0.95424251	0.9542425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.18333333	3.604226	  8.23333333	3.445215	1.6384893	2.5888317	 2.5800000	3.1165413	 1.62000000	2.6786094	1.5352941	2.5987905	0.00	0.00	0.00	1.00	0.00	0.00	0.50	0.50
Bulbophyllum trachypus	0.3010300	0.3010300	0.0278888889	 0.781222222	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.66000000	2.222716	 16.46666667	3.360215	1.4623980	2.6127839	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
Bulbophyllum trifilum	1.0000000	1.0000000	0.0678444444	 0.799250000	5.701552e-01	0.8269386428	0	4.85068555	1.5682017	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.20000000	2.748963	 11.40000000	3.527243	1.2304489	2.7551123	 6.0400000	2.6209684	 6.22666667	3.6213425	1.5774918	3.0729847	0.12	0.38	0.25	0.25	0.11	0.11	0.56	0.22
Bulbophyllum trirhopalon	0.6989700	0.6989700	0.0865777778	 0.815833333	6.627578e-01	0.6567391042	0	4.38672551	1.2304489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.24000000	2.845408	 11.86666667	3.413970	1.5797836	2.4962375	 2.5500000	2.7470232	 2.66333333	3.0355298	0.9370161	2.3106933	0.00	0.75	0.25	0.00	0.00	0.25	0.25	0.50
Bulbophyllum uroplatoides	1.2041200	1.2041200	0.2063111111	 0.268933333	3.627030e-01	0.1823147703	0	3.81650670	1.5185139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.28666667	3.411788	 10.53333333	3.220370	1.8864907	2.1461280	 0.6266667	2.4683473	 0.62666667	2.5153439	0.9637878	1.7944880	0.00	0.87	0.13	0.00	0.00	0.53	0.47	0.00
Bulbophyllum xanthochlamys	0.4771213	0.4771213	0.0324888889	 0.763161111	6.578271e-01	0.8670601089	0	0.95424251	0.9542425	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.36333333	2.593840	 13.26666667	3.627007	1.2671717	2.9595184	 6.5400000	2.3558345	 6.72000000	3.4948361	1.2988531	2.9573199	0.50	0.50	0.00	0.00	0.50	0.00	0.00	0.50
Bulbophyllum zaratananae	0.7781513	0.7781513	0.1566111111	 0.272416667	1.682204e-01	0.2823637702	0	2.86710965	1.3222193	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.24666667	3.281715	 10.66666667	3.173186	1.9777236	1.7558749	 4.1066667	2.7024305	 4.40000000	2.5013332	1.4771213	2.0413927	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
Bulleyia yunnanensis	1.2304489	1.2304489	0.2864666667	 0.557655556	7.457499e-01	0.8809764222	1	5.23182079	1.8129134	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	 0.98666667	3.648653	  5.80000000	3.026329	1.9268567	1.6580114	 7.4000000	3.0499929	 7.86666667	2.7092700	1.1055102	1.5711263	0.00	0.25	0.19	0.56	0.00	0.19	0.19	0.62
Caladenia brownii	2.0681859	2.0681859	0.3836444444	 0.647272222	3.447459e-01	0.5652602978	0	4.41683899	2.6404814	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 1.02666667	3.496653	  7.73333333	2.997386	1.7993405	1.8692317	 1.2666667	2.9689497	 1.93333333	2.6888646	1.5409548	1.6556186	0.15	0.16	0.39	0.29	0.13	0.17	0.39	0.32
Caladenia catenata	3.1673173	3.1673173	0.3778222222	 0.834155556	1.069765e+00	1.0208375850	0	6.99276450	3.6447339	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	 1.13333333	3.587599	  7.60000000	3.030195	1.4771213	2.2329961	 4.6400000	3.4097641	 5.06666667	3.0327799	1.4913617	2.1205739	0.05	0.20	0.21	0.54	0.05	0.21	0.19	0.54
Caladenia citrina	1.2787536	1.2787536	0.3768333333	 0.640616667	1.697082e-01	0.3832308288	0	3.96265890	1.8129134	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 1.09000000	3.453624	  8.66666667	3.024691	1.8976271	1.6812412	 0.7100000	3.1477072	 1.93666667	2.5198280	1.1398791	1.2081725	0.06	0.00	0.29	0.65	0.00	0.18	0.24	0.59
Caladenia cracens	1.4313638	1.4313638	0.4755777778	 0.817811111	4.271127e-01	0.4026181314	0	4.46971483	1.9493900	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	 0.66666667	3.481872	  4.06666667	2.965672	1.2430380	2.2718416	 1.6500000	2.8162413	 1.95000000	2.8003734	1.2108534	1.8850784	0.00	0.00	0.36	0.64	0.00	0.04	0.32	0.64
Caladenia dimorpha	2.0170333	2.0170333	0.3773222222	 0.831483333	5.834221e-01	0.5451474746	0	5.20778358	2.4842998	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	 0.84666667	3.678154	  4.20000000	2.928396	1.2552725	2.2405492	 2.2400000	3.0295461	 1.79333333	2.6532125	1.3404441	1.7708520	0.12	0.30	0.21	0.37	0.11	0.30	0.19	0.40
Caladenia dundasiae	0.9030900	0.9030900	0.3428555556	 0.649444444	2.787536e-01	0.4329692909	0	3.88337556	1.4623980	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 1.20000000	3.725830	  7.60000000	2.513218	1.7558749	1.5797836	 0.4666667	2.2999429	 0.60000000	2.1411361	1.3324385	0.9084850	0.00	0.00	0.57	0.43	0.00	0.00	0.57	0.43
Caladenia hastata	1.7853298	1.7853298	0.4213333333	 0.785133333	2.266515e-01	0.1563098297	0	3.09591904	1.8129134	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	 0.91333333	3.516668	  6.40000000	2.862131	1.6127839	1.9493900	 0.1333333	2.8273693	 0.40000000	2.0000000	0.4771213	1.2342641	0.04	0.05	0.13	0.78	0.04	0.04	0.07	0.85
Caladenia incensa	1.9956352	1.9956352	0.3362111111	 0.655627778	6.541086e-01	0.6973304919	0	5.12845463	2.5224442	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	 1.23666667	3.751741	  7.66666667	2.486430	1.6812412	1.5965971	 2.2000000	3.0826956	 1.76333333	1.9052560	1.5550944	1.2588766	0.05	0.30	0.38	0.27	0.05	0.29	0.31	0.35
Caladenia mesocera	1.7403627	1.7403627	0.3468666667	 0.658972222	7.073308e-01	0.7153384479	0	5.17256581	2.2671717	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	 1.20333333	3.734320	  7.26666667	2.478566	1.6283889	1.6812412	 2.4666667	3.2610248	 1.31333333	2.0073210	1.5078559	1.4149733	0.04	0.43	0.35	0.18	0.04	0.41	0.35	0.20
Caladenia radialis	1.9493900	1.9493900	0.3503444444	 0.652283333	6.395293e-01	0.7070103419	0	5.17999566	2.4785665	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 1.19333333	3.705179	  7.33333333	2.555699	1.7558749	1.6180481	 2.3533333	3.2095954	 2.53000000	2.4643405	1.6688516	1.4456042	0.01	0.11	0.28	0.60	0.02	0.13	0.32	0.52
Caladenia radiata	1.7323938	1.7323938	0.3799000000	 0.648805556	5.293174e-01	0.4690735015	0	4.80158462	2.3117539	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 1.00000000	3.551206	  7.13333333	2.882525	1.7853298	1.7923917	 1.7733333	3.1459419	 1.78666667	2.6035774	1.4941546	1.6273659	0.06	0.08	0.29	0.57	0.12	0.15	0.27	0.46
Caladenia splendens	1.6334685	1.6334685	0.3665333333	 0.646188889	6.338975e-01	0.3828236123	0	4.88925563	2.2174839	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 1.08666667	3.627110	  7.13333333	2.882525	1.8836614	1.6720979	 2.1300000	3.3085217	 2.26666667	2.7597811	1.4297523	1.4456042	0.05	0.12	0.17	0.65	0.05	0.12	0.25	0.58
Calanthe caulescens	1.0000000	1.0000000	0.0588777778	 0.789555556	5.730481e-01	0.9185105226	0	4.71011419	1.5682017	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 0.90666667	2.799341	  8.53333333	3.483730	1.0000000	2.8457180	 3.6266667	2.3714373	 3.70666667	3.5698653	1.4742163	3.0530016	0.22	0.56	0.11	0.11	0.11	0.33	0.33	0.22
Calanthe ecallosa	0.3010300	0.3010300	0.0748111111	 0.591744444	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.40000000	2.472756	 13.80000000	3.570426	1.3802112	2.7902852	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
Calanthe fargesii	0.3010300	0.3010300	0.3240000000	 0.573050000	0.000000e+00	0.0000000000	1	0.69897000	0.6989700	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	 0.84000000	3.771514	  3.00000000	3.050766	1.9395193	1.5185139	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Calanthe madagascariensis	1.3979400	1.3979400	0.2010111111	 0.267883333	1.076210e+00	0.6202599726	0	5.40794920	1.9294189	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.31333333	3.397071	 10.66666667	3.215638	1.9030900	2.1172713	 5.1633333	3.1156105	 5.93333333	3.0499735	1.6063814	2.3116479	0.00	0.65	0.22	0.13	0.00	0.52	0.30	0.17
Calanthe versteegii	1.0000000	1.0000000	0.0477333333	 0.773594444	4.542349e-01	0.7975597428	0	4.61132895	1.5682017	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 0.90666667	2.798651	  8.46666667	3.539327	0.9542425	2.9025468	 7.4933333	2.5895028	 7.66666667	3.3712896	1.0718820	2.7916906	0.50	0.25	0.12	0.12	0.11	0.11	0.56	0.22
Calopogon multiflorus	1.5563025	1.5563025	0.3172000000	-0.458072222	6.826829e-01	0.9436300263	1	5.44562686	2.1492191	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	 1.48000000	3.639088	 10.80000000	3.107888	1.6812412	2.2455127	 2.3733333	3.3469395	 4.24000000	2.5963771	1.6464037	2.2530956	0.00	0.26	0.37	0.37	0.00	0.26	0.37	0.37
