Liparis ambohimangana	0.49			8.96							46.04	48.13						0.03								0.05	6.65			24.51						34.2					8.16		10.7		14.69						13.44					41.07				3.87					26.05	48.51	35.59																20.46																	48.39
Mystacidium nguruense	22.87	19.4		38.05	24.82	44.94	40.02	18.62	15.54	9.21		4.14	38.25			0.63			5.02	0.34	24.15	45.33	46.13		40.13	16.62	30.72	8.02	49.19	32.89	9.42	30.8		32.4	19.57	16.5		21.04			0.72	4.7	20.96	1.53	0.52	5.89	3.67	0.17	10.32	6.42	18.42	3.92	5.19	23.43	15.8		8.32	19.61	22.8	2.24	37.54		2.58	8.05	31.78	0.68	0.54			33.93	4.71	31.74		12.2		0.89	18.33	41.12	23.25	8.05		30.36		42.12	48.77	4.42	14.78	0.36	11.81		10.45	10.67	2.96	5.25	10.2	40.38		11.66	6.9	9.11
Mystacidium pulchellum				34.13	8.69							15.28				2.09		28.69	0.58							36.17			8.67				36.28								14.46		26.03			25.47	28.28			42.44					29.29						8.7												26.26	6.4							7.81		25.34					44.1							20.26				2.84	
Neobolusia ciliata			4.21					1.59			4.37		47.36		10.84			10.71			22.78		49.28	32.18												12.65	24.68				5.94		44.2	28.63				15.83									9.65	3.2		6.19			34.57											47.57							45.94			6.93			47.44			25.14		31.88		10.33					36.33	
Neottia acuminata																																																																																																				
Neottia cordata																																			28.53																																																																	
Neottia nidus-avis																																																																																																				
Brachionidium pteroglossum			29.02		35.53	10.78	30.02		34.67	10.93	33.13	19.23	35.5		27.93	17.83	22.24	13.9		1.39	48.76	11.04	5.6	11.94	7.07	47.34	16.61	34.54	30.6	17.86	2.91	10.34				24.25	18.0	19.64	26.2	10.81	0.85			40.46	16.75		20.73				24.59	14.28	2.89		13.6	1.09	23.92	24.06	32.33	29.99	25.16	24.61	22.73	7.13	18.42	0.76	10.44	6.31		38.28	37.45	33.57		14.33	9.25	4.82	13.73	13.52	23.89		36.69		38.19		39.82	29.15	4.84	17.55	12.18	4.12		5.7		8.51		16.59				3.02
Brachycorythis disoides								26.52	43.11																30.92																																	9.48			6.07														37.56			4.44																				39.87		
Oeceoclades maculata																																																																																																				
Oeonia brauniana															12.61		38.41																																						32.15		20.56												23.35																															
Oligophyton drummondii																																	15.12																																																																			
Oncidium dactyliferum																																																																																																				
Oncidium ensatum																																																																															40.76																					
Oncidium hastilabium																																																																																																				
Oncidium planilabre																																																																																							49.06													
Ophrys argolica																																								27.07					23.31						40.61													12.13					6.06												31.69				41.05															
Ophrys atlantica																																																																																																				
Ophrys bertolonii																																																																																						36.86														
Ophrys insectifera																																																								36.26																																												
Ophrys kotschyi																																																																		40.97																																		
Ophrys lunulata								21.19																																																											26.03																																	
Orchis brancifortii																																																																																																				
Orchis laeta																						31.6											21.82																																																			40.41		25.17														21.11
Orchis pauciflora																																																																																																				
Orchis quadripunctata																																																																																																				
Orchis sitiaca				49.63		6.93				38.75			42.91	49.4	12.65	49.04				5.02				30.61	45.18		10.64		38.15		30.77		13.48		6.78										34.52	20.65								34.74						45.26	43.42			0.56									34.6		25.12							19.36								20.98			46.33						15.63	
Oreorchis oligantha																																																																																																				
Orleanesia amazonica																																																																																																				
Acianthera saundersiana																																								10.48																																																							31.35					
Pachyplectron arifolium																																																																																																40.33				
Palmorchis imuyaensis																																																																																																				
Palmorchis trilobulata																																																																																																				
Panisea yunnanensis							5.78			40.46								39.25				38.45			48.24																27.19					23.66		4.2				4.05									7.81									2.68		33.8					19.15	43.86				40.21		1.28																
Paphiopedilum appletonianum					29.57	21.69			3.65			24.05				3.01									15.86											20.63	11.16				33.73		26.82						3.89			35.03		15.08	41.89			43.1			41.98	46.94			45.79		46.02			3.85						13.93		26.6		4.61													31.33	38.5	9.76	17.8				
Paphiopedilum armeniacum	28.86																				18.13						9.03	40.31							24.39			17.66								46.85										3.45	16.38		23.04									12.65		0.15						20.08	5.74										18.44													
Paphiopedilum barbigerum				3.25		16.58				25.28								38.86		12.9								38.89				13.75			47.72		27.04	9.92								34.98				9.0					25.38	31.46	11.0				8.9	14.41	0.83	29.74	14.8				20.12				39.26	13.11	17.39									2.14	33.63		8.68		40.02	38.91							31.67		3.93	
Paphiopedilum bellatulum	33.79										30.02	21.56	9.66										19.55			2.96		20.96						47.81				16.4	1.06		5.25			3.38	3.76	49.3								44.6					5.37				5.58			47.61	31.54	41.59									41.37									3.43										49.99		40.37		
