	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
196	Agave wallisii																			CR		
197	Agave warelliana																				EN	
198	Agave wendtii																				EN	
199	Agave wercklei																			LC		
200	Agave wocomahi																			LC		
201	Agave xylonacantha																			LC		
202	Agave zebra																			VU		
203	Agrostophyllum cyathiforme													LC								
204	Agrostophyllum laterale													VU								
205	Albuca albucoides																EN					
206	Albuca nana																CR					
207	Albuca roodeae																DD					
208	Albuca yerburyi													VU								
209	Allium acutiflorum											LC										
210	Allium aethusanum											DD										
211	Allium agrigentinum																		EN			
212	Allium akirense																	CR				
213	Allium altaicum																NT					
214	Allium altyncolicum																LC					
215	Allium amethystinum																	LC				
216	Allium ampeloprasum																LC					
217	Allium anzalonei																		NT			
218	Allium apulum																		LC			
219	Allium asarense																DD					
220	Allium atrosanguineum																LC					
221	Allium atroviolaceum																DD					
222	Allium autumnale											LC										
223	Allium baeticum																			LC		
224	Allium basalticum																	EN				
225	Allium baytopiorum														CR							
226	Allium beesianum																		LC			
227	Allium birkinshawii																		DD			
228	Allium bornmuelleri											DD										
229	Allium bourgeaui																DD					
230	Allium breviradium											DD										
231	Allium calabrum																		LC			
232	Allium calamarophilon						DD															
233	Allium callimischon																	LC				
234	Allium calocephalum																		NT			
235	Allium carmeli																	NT				
236	Allium caroli-henrici																		LC			
237	Allium castellanense																		VU			
238	Allium chamaemoly																		LC			
239	Allium chamaespathum											DD										
240	Allium chinense													LC								
241	Allium chrysonemum											DD										
242	Allium circinatum											DD										
243	Allium colchicifolium													LC								
244	Allium commutatum																		LC			
245	Allium corsicum											CR										
246	Allium croaticum																		LC			
247	Allium cyprium																	LC				
248	Allium czelghauricum														CR							
249	Allium diomedeum																		EN			
250	Allium drusorum																	DD				
251	Allium dumetorum																	VU				
252	Allium duriaeanum																			EN		
253	Allium ericetorum											DD										
254	Allium exaltatum											VU										
255	Allium fasciculatum													LC								
256	Allium favosum											DD										
257	Allium feinbergii																	LC				
258	Allium franciniae																		DD			
259	Allium galanthum																DD					
260	Allium galileum																	LC				
261	Allium garganicum																		EN			
262	Allium geyeri																LC					
263	Allium gomphrenoides											DD										
264	Allium grosii											LC										
265	Allium heldreichii											DD										
266	Allium hemisphaericum																		VU			
267	Allium hermoneum																	LC				
268	Allium horvatii											DD										
269	Allium hymettium											DD										
270	Allium iatrouinum																	CR				
271	Allium incensiodorum											DD										
272	Allium insubricum											DD										
273	Allium integerrimum											DD										
274	Allium karelinii																DD					
275	Allium kermesinum											DD										
276	Allium koenigianum														DD							
277	Allium ledebourianum																LC					
278	Allium lehmannii											DD										
279	Allium libani																	NT				
280	Allium lojaconoi											NT										
281	Allium lopadusanum											DD										
282	Allium luteolum											DD										
283	Allium macedonicum											DD										
284	Allium macrostemon																LC					
285	Allium makmelianum																	NT				
286	Allium makrianum																	EN				
287	Allium marathasicum																	CR				
288	Allium marschalianum											DD										
289	Allium maximowiczii																DD					
290	Allium meikleanum																	NT				
291	Allium melanantherum											LC										
292	Allium melananthum											NT										
293	Allium meronense																	EN				
294	Allium meteoricum											DD										
295	Allium moly											LC										
296	Allium mongolicum													LC								
297	Allium multiflorum																		LC			
298	Allium narcissiflorum											DD										
299	Allium nebrodense																		VU			
300	Allium noeanum																			EN		
301	Allium notabile																	DD				
302	Allium obtusiflorum											DD										
303	Allium oliganthum																DD					
304	Allium oschaninii																DD					
305	Allium palentinum											DD										
306	Allium panormitanum																	DD				
307	Allium parciflorum											DD							LC			
308	Allium parnassicum											DD										
309	Allium pelagicum																	VU				
310	Allium pendulinum											DD							LC			
311	Allium permixtum											DD										
