status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
VU->LC	0.00074065	0.00029090	0.00042961	0.00048115	0.00024398	0.00109523	0.00028557	0.00013795	0.00050851	0.00049638	0.00081770	0.00078440	0.00026909	0.00030761	0.00062204	0.00067623	0.00081933	0.00281804	0.00049967	0.00133254	0.00109929	0.00121495	0.00046184	0.00048135	0.00034438	0.00083828	0.00063379	0.00161803	0.00020458	0.00056805	0.00006686	0.00109542	0.00064354	0.00063775	0.00106356	0.00103386	0.00032050	0.00030238	0.00100524	0.00035931	0.00034447	0.00075070	0.00011515	0.00089514	0.00217249	0.00071511	0.00012907	0.00021625	0.00093441	0.00016164	0.00174850	0.00065764	0.00077642	0.00088054	0.00140180	0.00088895	0.00138468	0.00049638	0.00069496	0.00017718	0.00087368	0.00011667	0.00068939	0.00086979	0.00025921	0.00100281	0.00086051	0.00102550	0.00113153	0.00008959	0.00063160	0.00052111	0.00019758	0.00104185	0.00010453	0.00070317	0.00064422	0.00090694	0.00235062	0.00033157	0.00046177	0.00086314	0.00092409	0.00021671	0.00082760	0.00044236	0.00170966	0.00100898	0.00043146	0.00009969	0.00063767	0.00059485	0.00051974	0.00059284	0.00039612	0.00041310	0.00053856	0.00052779	0.00177621	0.00172101
VU->NT	0.00032981	0.00086972	0.00049616	0.00012555	0.00044343	0.00100593	0.00034253	0.00030688	0.00164831	0.00182588	0.00047907	0.00024716	0.00014555	0.00087109	0.00018715	0.00175780	0.00059405	0.00203926	0.00039412	0.00025443	0.00009066	0.00131004	0.00068420	0.00044527	0.00070659	0.00005321	0.00037396	0.00058092	0.00085594	0.00032463	0.00005585	0.00013694	0.00037158	0.00033762	0.00015557	0.00195868	0.00100181	0.00052531	0.00032615	0.00077029	0.00117885	0.00017879	0.00074971	0.00016991	0.00065243	0.00057418	0.00054640	0.00229499	0.00038611	0.00086572	0.00113704	0.00081731	0.00035562	0.00029648	0.00024065	0.00135595	0.00005457	0.00016844	0.00182687	0.00054345	0.00047439	0.00050996	0.00120370	0.00027717	0.00081257	0.00042877	0.00202437	0.00182702	0.00021652	0.00032147	0.00053621	0.00176837	0.00076928	0.00091850	0.00044240	0.00069919	0.00028134	0.00078985	0.00048336	0.00057073	0.00124223	0.00131817	0.00133248	0.00117244	0.00029792	0.00036726	0.00060233	0.00055622	0.00185503	0.00079446	0.00033110	0.00038419	0.00069311	0.00195625	0.00027330	0.00050669	0.00095942	0.00101958	0.00032669	0.00029459
VU->EN	0.00092696	0.00143445	0.00124050	0.00182263	0.00129762	0.00082837	0.00125749	0.00111375	0.00209231	0.00226125	0.00093227	0.00164026	0.00062900	0.00203067	0.00149650	0.00161667	0.00112524	0.00107149	0.00145364	0.00085202	0.00055354	0.00187207	0.00118145	0.00141639	0.00163654	0.00181193	0.00160159	0.00209472	0.00099932	0.00213089	0.00100956	0.00122378	0.00131100	0.00272855	0.00255890	0.00170203	0.00084326	0.00177962	0.00174816	0.00142568	0.00070900	0.00180837	0.00147661	0.00093165	0.00027242	0.00356681	0.00116200	0.00103471	0.00126813	0.00339289	0.00118733	0.00199277	0.00244543	0.00187735	0.00210130	0.00176751	0.00158938	0.00277529	0.00092514	0.00380666	0.00189028	0.00100562	0.00249030	0.00284457	0.00299177	0.00119781	0.00147666	0.00326597	0.00168805	0.00116564	0.00144782	0.00123562	0.00235057	0.00536211	0.00331516	0.00193679	0.00199862	0.00275747	0.00047973	0.00145421	0.00301625	0.00332618	0.00485993	0.00157732	0.00150694	0.00205162	0.00201592	0.00076393	0.00271364	0.00062474	0.00195815	0.00482380	0.00084609	0.00308108	0.00132245	0.00116005	0.00265480	0.00464621	0.00167449	0.00072475
VU->CR	0.00065703	0.00119269	0.00065539	0.00058593	0.00004191	0.00138092	0.00047676	0.00042196	0.00043231	0.00145734	0.00111036	0.00071723	0.00080397	0.00042924	0.00160022	0.00047901	0.00054225	0.00042400	0.00194940	0.00062254	0.00051223	0.00097229	0.00169770	0.00086905	0.00041150	0.00026923	0.00087825	0.00073842	0.00005489	0.00028538	0.00007773	0.00048301	0.00039501	0.00153369	0.00131860	0.00028020	0.00112696	0.00048025	0.00079964	0.00078709	0.00102878	0.00060937	0.00063302	0.00068576	0.00050683	0.00063793	0.00019762	0.00033324	0.00056830	0.00069881	0.00162057	0.00045190	0.00036471	0.00048139	0.00070833	0.00061451	0.00023687	0.00056499	0.00167327	0.00102567	0.00140271	0.00138513	0.00095946	0.00015629	0.00008347	0.00054453	0.00058358	0.00011722	0.00047738	0.00096503	0.00098068	0.00165840	0.00023314	0.00120791	0.00159939	0.00025385	0.00075647	0.00053881	0.00014443	0.00057824	0.00056163	0.00146291	0.00007046	0.00130310	0.00051022	0.00129683	0.00013044	0.00019203	0.00072545	0.00042068	0.00019398	0.00168962	0.00141913	0.00130412	0.00238883	0.00002715	0.00039789	0.00132652	0.00039192	0.00248188
VU->DD	0.00077033	0.00141062	0.00090293	0.00095828	0.00044889	0.00030905	0.00063004	0.00049988	0.00042441	0.00033073	0.00054101	0.00027745	0.00031552	0.00030486	0.00030988	0.00027231	0.00287794	0.00053093	0.00129744	0.00077602	0.00077652	0.00046253	0.00013898	0.00068657	0.00048704	0.00183256	0.00050063	0.00119738	0.00124929	0.00158626	0.00129250	0.00043026	0.00068631	0.00059478	0.00067859	0.00178547	0.00008487	0.00019378	0.00103911	0.00038326	0.00056060	0.00035576	0.00074961	0.00017479	0.00131514	0.00064143	0.00065545	0.00085205	0.00084178	0.00101593	0.00033593	0.00064774	0.00054022	0.00121844	0.00280070	0.00017702	0.00024174	0.00033612	0.00048199	0.00167183	0.00036186	0.00011187	0.00028863	0.00038097	0.00054429	0.00059373	0.00030541	0.00053800	0.00030061	0.00053245	0.00051293	0.00088515	0.00103126	0.00188089	0.00006192	0.00317796	0.00028332	0.00034585	0.00017597	0.00084016	0.00058021	0.00047208	0.00069297	0.00049499	0.00047479	0.00052341	0.00241657	0.00151608	0.00074896	0.00039616	0.00078752	0.00050537	0.00033860	0.00065038	0.00085091	0.00011899	0.00142701	0.00146580	0.00072405	0.00044995
EN->LC	0.00004400	0.00018485	0.00033448	0.00018818	0.00000596	0.00005483	0.00076526	0.00001058	0.00036040	0.00001043	0.00065331	0.00050954	0.00025407	0.00059953	0.00001538	0.00020138	0.00008261	0.00010513	0.00005260	0.00045543	0.00026031	0.00007088	0.00186041	0.00000746	0.00006331	0.00002792	0.00151799	0.00034233	0.00001021	0.00004004	0.00010707	0.00011087	0.00004084	0.00007134	0.00058128	0.00037567	0.00050696	0.00047025	0.00030756	0.00003132	0.00032014	0.00034916	0.00005228	0.00008214	0.00004655	0.00087710	0.00014637	0.00017687	0.00049437	0.00001903	0.00011507	0.00003222	0.00047956	0.00090534	0.00001427	0.00037461	0.00025419	0.00044385	0.00031194	0.00012047	0.00061991	0.00015696	0.00029880	0.00009225	0.00005564	0.00089446	0.00004312	0.00003827	0.00012326	0.00007827	0.00013238	0.00003664	0.00006702	0.00002676	0.00032265	0.00001725	0.00026078	0.00013990	0.00009347	0.00072795	0.00061963	0.00006202	0.00004540	0.00002516	0.00006764	0.00011485	0.00046094	0.00006007	0.00047832	0.00051576	0.00000164	0.00010508	0.00001203	0.00003356	0.00005672	0.00016080	0.00007190	0.00040150	0.00011735	0.00009368
EN->NT	0.00007882	0.00003523	0.00020019	0.00009416	0.00000554	0.00008115	0.00078749	0.00023125	0.00013802	0.00052853	0.00008051	0.00129583	0.00033336	0.00003002	0.00007751	0.00040840	0.00035553	0.00007084	0.00009231	0.00009282	0.00006762	0.00002832	0.00029143	0.00036087	0.00033990	0.00003555	0.00111534	0.00018560	0.00041241	0.00020402	0.00014309	0.00040295	0.00051892	0.00070776	0.00077007	0.00084371	0.00022194	0.00004263	0.00006654	0.00002690	0.00024911	0.00010335	0.00008946	0.00052049	0.00068060	0.00030676	0.00001876	0.00014529	0.00019821	0.00004842	0.00011867	0.00067617	0.00055929	0.00021376	0.00036067	0.00069416	0.00002455	0.00035386	0.00025845	0.00004561	0.00017765	0.00010109	0.00018041	0.00008191	0.00010047	0.00049568	0.00013558	0.00011867	0.00022081	0.00000640	0.00002497	0.00007169	0.00018082	0.00005401	0.00033528	0.00047880	0.00027335	0.00005629	0.00039971	0.00005066	0.00029874	0.00019755	0.00040039	0.00002994	0.00015321	0.00004933	0.00022381	0.00013025	0.00004142	0.00069030	0.00032363	0.00005349	0.00002071	0.00000508	0.00029128	0.00001084	0.00022916	0.00016152	0.00023000	0.00013495
EN->VU	0.00031973	0.00040190	0.00030158	0.00049761	0.00112101	0.00040201	0.00080623	0.00063109	0.00070114	0.00081226	0.00012299	0.00051260	0.00071223	0.00063488	0.00092959	0.00040904	0.00094262	0.00064725	0.00025387	0.00033451	0.00044455	0.00049084	0.00018457	0.00061053	0.00105870	0.00059706	0.00067117	0.00061091	0.00047404	0.00139735	0.00056969	0.00062698	0.00052992	0.00161426	0.00116136	0.00112823	0.00023176	0.00048058	0.00162743	0.00068263	0.00094283	0.00056859	0.00062095	0.00094928	0.00073916	0.00078820	0.00083398	0.00066290	0.00024157	0.00067348	0.00069882	0.00036753	0.00096721	0.00098251	0.00112887	0.00033802	0.00042624	0.00116179	0.00046086	0.00107772	0.00069795	0.00093463	0.00063208	0.00185648	0.00051387	0.00050879	0.00024563	0.00079725	0.00070629	0.00028754	0.00081712	0.00106797	0.00208246	0.00085054	0.00031926	0.00079779	0.00131384	0.00108924	0.00065755	0.00049595	0.00083986	0.00025115	0.00053937	0.00029761	0.00017408	0.00059664	0.00044555	0.00051349	0.00095838	0.00073347	0.00081899	0.00021726	0.00039170	0.00034898	0.00032363	0.00025529	0.00073340	0.00090052	0.00031820	0.00117863
EN->CR	0.00002551	0.00021383	0.00054637	0.00003274	0.00002945	0.00015262	0.00041808	0.00009228	0.00022509	0.00016936	0.00049403	0.00019026	0.00001759	0.00018683	0.00043581	0.00019216	0.00009255	0.00012450	0.00037087	0.00002893	0.00072358	0.00003023	0.00020512	0.00015501	0.00091284	0.00021005	0.00024125	0.00049340	0.00022654	0.00015460	0.00001499	0.00039409	0.00027557	0.00013758	0.00049941	0.00000546	0.00024785	0.00044974	0.00017577	0.00048698	0.00039166	0.00014709	0.00010815	0.00005936	0.00009555	0.00004451	0.00005321	0.00048807	0.00000325	0.00013189	0.00002585	0.00018644	0.00001674	0.00009697	0.00004370	0.00005242	0.00007154	0.00006885	0.00021286	0.00020993	0.00008999	0.00013002	0.00025052	0.00103598	0.00012467	0.00018278	0.00002771	0.00077767	0.00042739	0.00027239	0.00011131	0.00035310	0.00024487	0.00014228	0.00005013	0.00039266	0.00002219	0.00008367	0.00022146	0.00020518	0.00053654	0.00045663	0.00031655	0.00016598	0.00014150	0.00003102	0.00015104	0.00032012	0.00003039	0.00029458	0.00025898	0.00018480	0.00000866	0.00010142	0.00007557	0.00000836	0.00007252	0.00049534	0.00026158	0.00042321
EN->DD	0.00054048	0.00045641	0.00118745	0.00002756	0.00006413	0.00003948	0.00002938	0.00020024	0.00038789	0.00020383	0.00009320	0.00004983	0.00029004	0.00043970	0.00005115	0.00021177	0.00001865	0.00022897	0.00017575	0.00034536	0.00040000	0.00008405	0.00028770	0.00026442	0.00009479	0.00014992	0.00005127	0.00002979	0.00022196	0.00009325	0.00003834	0.00008262	0.00013725	0.00014762	0.00064340	0.00072850	0.00009469	0.00017738	0.00035341	0.00004093	0.00020057	0.00004898	0.00026249	0.00035339	0.00040593	0.00013056	0.00017079	0.00000130	0.00028038	0.00033299	0.00004241	0.00047754	0.00024841	0.00064679	0.00019027	0.00010415	0.00011567	0.00012372	0.00016417	0.00019033	0.00003004	0.00021010	0.00021155	0.00001484	0.00004716	0.00017581	0.00029918	0.00044830	0.00005054	0.00017091	0.00023038	0.00027843	0.00019436	0.00004597	0.00078918	0.00009255	0.00027310	0.00029528	0.00026922	0.00010804	0.00026976	0.00036757	0.00000524	0.00085718	0.00043930	0.00006220	0.00055157	0.00002307	0.00016761	0.00001031	0.00040460	0.00012529	0.00007082	0.00004779	0.00026394	0.00034316	0.00049959	0.00015934	0.00061013	0.00041925
