Calopogon tuberosus
Tridactyle flabellata
Tridactyle minuta
Tridactyle phaeocephala
Tridactyle sarcodantha
Tridactyle stevartiana
Tridactyle tanneri
Triphora yucatanensis
Bulbophyllum debile
Tropidia saprophytica
Tylostigma filiforme
Tylostigma herminioides
Tylostigma hildebrandtii
Bulbophyllum dekockii
Tylostigma madagascariense
Tylostigma nigrescens
Bulbophyllum delitescens
Vanda hindsii
Vanda scandens
Vanda tessellata
Bulbophyllum dendrochiloides
Vanilla cribbiana
Vanilla hartii
Bulbophyllum desmotrichoides
Vanilla inodora
Vanilla insignis
Vanilla odorata
Vanilla phaeantha
Vanilla pompona
Yoania japonica
Zeuxine amboinensis
Bulbophyllum discolor
Zeuxine odorata
Zygopetalum crinitum
Bulbophyllum encephalodes
Bulbophyllum erinaceum
Bulbophyllum erythroglossum
Bulbophyllum fayi
Bulbophyllum fonsflorum
Bulbophyllum fractiflexum
Bulbophyllum grammopoma
Bulbophyllum gravidum
Bulbophyllum gyaloglossum
Bulbophyllum hamelinii
Bulbophyllum hirsutiusculum
Bulbophyllum hirudiniferum
Bulbophyllum horizontale
Bulbophyllum imitator
Bulbophyllum ischnopus
Bulbophyllum jaapii
Bulbophyllum jumelleanum
Bulbophyllum kainochiloides
Bulbophyllum latisepalum
Bulbophyllum leniae
Bulbophyllum leopardinum
Bulbophyllum lepanthiflorum
Bulbophyllum leptoleucum
Bulbophyllum leucothyrsus
Bulbophyllum lizae
Bulbophyllum macilentum
Bulbophyllum macneiceae
Bulbophyllum macranthum
Bulbophyllum macrorhopalon
Bulbophyllum macrourum
Bulbophyllum mediocre
Bulbophyllum mesodon
Bulbophyllum minax
Bulbophyllum minutipetalum
Bulbophyllum minutissimum
Bulbophyllum mischobulbon
Bulbophyllum moratii
Bulbophyllum multiflorum
Bulbophyllum myon
Bulbophyllum nigericum
Bulbophyllum octarrhenipetalum
Bulbophyllum oliganthum
Bulbophyllum olivinum
Bulbophyllum oreodoxa
Bulbophyllum ortalis
Bulbophyllum pachytelos
Bulbophyllum paleiferum
Bulbophyllum pandanetorum
Bulbophyllum patella
Bulbophyllum peltopus
Bulbophyllum peyrotii
Bulbophyllum phormion
Bulbophyllum pidacanthum
Bulbophyllum porphyrostachys
Bulbophyllum posticum
Aerangis gracillima
Bulbophyllum quasimodo
Bulbophyllum radicans
Bulbophyllum reevei
Aerangis hyaloides
Bulbophyllum regnellii
Bulbophyllum renkinianum
Bulbophyllum restrepia
Bulbophyllum rhodoleucum
Bulbophyllum rubrolabellum
Bulbophyllum rubrum
Bulbophyllum sandrangatense
Bulbophyllum sceliphron
Aerangis macrocentra
Bulbophyllum scopa
Bulbophyllum scutiferum
Aerangis megaphylla
Bulbophyllum simile
Aerangis monantha
Bulbophyllum stipulaceum
Bulbophyllum subligaculiferum
Bulbophyllum subpatulum
Bulbophyllum sulfureum
Bulbophyllum tampoketsense
Bulbophyllum tarantula
Aerangis pallidiflora
Bulbophyllum thelantyx
Bulbophyllum tinekeae
Bulbophyllum tokioi
Bulbophyllum trachypus
Aerangis punctata
Bulbophyllum trifilum
Bulbophyllum trirhopalon
Aerangis seegeri
Bulbophyllum uroplatoides
Bulbophyllum xanthochlamys
Bulbophyllum zaratananae
Bulleyia yunnanensis
Caladenia brownii
Caladenia citrina
Aeranthes angustidens
Caladenia cracens
Aeranthes antennophora
Caladenia dimorpha
Caladenia dundasiae
Aeranthes ecalcarata
Caladenia hastata
Caladenia incensa
Aeranthes leandriana
Caladenia mesocera
Aeranthes multinodis
Caladenia radialis
Caladenia radiata
Caladenia splendens
Aeranthes polyanthemus
Aeranthes schlechteri
Calanthe caulescens
Aeranthes setipes
Aeranthes strangulata
Calanthe ecallosa
Calanthe fargesii
Calanthe madagascariensis
Aeranthes tropophila
Calanthe versteegii
Calopogon multiflorus
Campylocentrum tyrridion
Catasetum barbatum
Catasetum tuberculatum
Ceratostylis anceps
Ceratostylis micrantha
Agrostophyllum cyathiforme
Changnienia amoena
Cheirostylis bidentata
Cheirostylis notialis
Claderia viridiflora
Cleistes ionoglossa
Agrostophyllum laterale
Cochleanthes trinitatis
Coelogyne foerstermannii
Coelogyne rigida
Conchidium pusillum
Corallorhiza bentleyi
Corybas dienemus
Corybas gastrosiphon
Corycium flanaganii
Crepidium kabense
Altensteinia longispicata
Crepidium quadridens
Cribbia pendula
Cribbia thomensis
Amitostigma capitatum
Cryptopus brachiatus
Cryptopus dissectus
Amitostigma hemipilioides
Cryptopus paniculatus
Amitostigma simplex
Amitostigma tetralobum
Anacamptis boryi
Cyclopogon longibracteatus
Acianthera chrysantha
Anacamptis palustris
Anacamptis sancta
Cymbidium tracyanum
Cynorkis ambondrombensis
Cynorkis aphylla
Cynorkis aurantiaca
Cynorkis bimaculata
Cynorkis buchwaldiana
Cynorkis cuneilabia
Cynorkis elata
Cynorkis formosa
Cynorkis gabonensis
Cynorkis gibbosa
Cynorkis gigas
Cynorkis globifera
Cynorkis gymnochiloides
Cynorkis henrici
Cynorkis humbertii
Cynorkis lindleyana
Cynorkis marojejyensis
Cynorkis monadenia
Cynorkis muscicola
Cynorkis perrieri
Cynorkis peyrotii
Cynorkis pinguicularioides
Cynorkis pleistadenia
Cynorkis pseudorolfei
Cynorkis purpurea
Cynorkis quinqueloba
Cynorkis rolfei
Cynorkis rungweensis
Cynorkis sacculata
Cynorkis sambiranoensis
Cynorkis stolonifera
Cynorkis sylvatica
Cynorkis tenerrima
Cynorkis tristis
Cynorkis uncata
Cynorkis zaratananae
Cypripedium arietinum
Cypripedium bardolphianum
Cypripedium calcicola
Cypripedium californicum
Cypripedium candidum
Cypripedium cordigerum
Cypripedium debile
Cypripedium elegans
Cypripedium fargesii
Cypripedium farreri
Cypripedium fasciculatum
Cypripedium fasciolatum
Cypripedium flavum
Cypripedium formosanum
Cypripedium forrestii
Cypripedium franchetii
Cypripedium henryi
Cypripedium himalaicum
Cypripedium irapeanum
Cypripedium japonicum
Cypripedium kentuckiense
Cypripedium lichiangense
Cypripedium ludlowii
Cypripedium macranthos
Cypripedium margaritaceum
Cypripedium molle
Cypripedium montanum
Cypripedium palangshanense
Cypripedium passerinum
Cypripedium plectrochilum
Cypripedium reginae
Cypripedium segawae
Cypripedium shanxiense
Cypripedium taibaiense
Cypripedium tibeticum
Cypripedium wardii
Cypripedium yunnanense
Cyrtochilum halteratum
Anathallis minutalis
Cyrtopodium brandonianum
Cyrtorchis glaucifolia
Dactylorhiza baumanniana
Dactylorhiza cordigera
Dactylorhiza euxina
Dactylorhiza foliosa
Dactylorhiza kalopissii
Dactylorhiza lapponica
Dactylorhiza urvilleana
Dendrobium aberrans
Dendrobium alexandrae
Dendrobium aloifolium
Ancistrochilus thomsonianus
Dendrobium amphigenyum
Dendrobium aphyllum
Dendrobium archipelagense
Dendrobium armeniacum
Dendrobium atroviolaceum
Dendrobium bensoniae
Dendrobium brevicaule
Dendrobium bulbophylloides
Ancistrorhynchus crystalensis
Ancistrorhynchus laxiflorus
Dendrobium cochliodes
Ancistrorhynchus parviflorus
Dendrobium crassilabium
Dendrobium crispilinguum
Ancistrorhynchus refractus
Dendrobium cruttwellii
Dendrobium cuthbertsonii
Dendrobium cyanocentrum
Ancistrorhynchus serratus
Dendrobium dekockii
Dendrobium dendrocolloides
Dendrobium dissitifolium
Ancistrorhynchus tenuicaulis
Dendrobium engae
Dendrobium eximium
Dendrobium finisterrae
Dendrobium forbesii
Dendrobium geotropum
Dendrobium habbemense
Angraecopsis cryptantha
Dendrobium hamiferum
Dendrobium helix
Dendrobium hellwigianum
Dendrobium incurvum
Angraecopsis lisowskii
Dendrobium kauldorumii
Dendrobium lancifolium
Dendrobium lancilabium
Angraecopsis parva
Dendrobium lasianthera
Dendrobium leptocladum
Dendrobium leucohybos
Dendrobium lineale
Dendrobium litorale
Dendrobium lohohense
Angraecopsis tenerrima
Angraecopsis tridens
Dendrobium margaretiae
Dendrobium mayandyi
Dendrobium melinanthum
Dendrobium merrillii
Dendrobium minutiflorum
Dendrobium nardoides
Angraecum alleizettei
Dendrobium otaguroanum
Angraecum amplexicaule
Angraecum angustum
Dendrobium poneroides
Angraecum ankeranense
Angraecum aporoides
Dendrobium putnamii
Dendrobium rigidifolium
Dendrobium rupestre
Angraecum atlanticum
Angraecum bancoense
Dendrobium simplex
Angraecum bicallosum
Dendrobium subuliferum
Dendrobium sulphureum
Dendrobium tangerinum
Dendrobium tapiniense
Dendrobium terrestre
